example,APC,instance,condition
Ich Deutscher bin seit Jahren aktiv in diesem Verein zur Kleingartenpflege.,ich Deutscher,1,apc-subj-1-sg-nomod
Ich Mensch bin heute früh mit dem Bus angekommen.,ich Mensch,1,apc-subj-1-sg-nomod
Ich sportliches Kind schwimme seit Jahren in diesem Verein.,ich ehrliches Kind,1,apc-subj-1-sg-adj
"Ich glücklicher Mann bin gestern im Park spazieren gegangen, obwohl das Wetter schlecht war.",ich glücklicher Mann,1,apc-subj-1-sg-adj
Ich Bahnfahrerin aus Rostock bin seit Jahren aktiv in diesem Verkehrsverein.,ich Bahnfahrerin aus Rostock,1,apc-subj-1-sg-postnom
"Ich Klempner aus der Nachbarschaft bin gestern im Park spazieren gegangen, obwohl das Wetter schlecht war.",ich Klempner aus der Nachbarschaft,1,apc-subj-1-sg-postnom
Ich wundersamer Mensch vom Land habe etwas andere Ansichten als die Leute aus der Stadt.,ich wundersamer Mensch vom Land,1,apc-subj-1-sg-adj+postnom
Ich ehrlicher Sozialdemokrat aus dem Norden bin seit Jahren aktiv in diesem Verein.,ich ehrlicher Sozialdemokrat aus dem Norden,1,apc-subj-1-sg-adj+postnom
Wir Juden kennen das Problem schon seit Jahren.,wir Juden,1,apc-subj-1-pl-nomod
Wir Geschwister sind heute früh mit dem Bus angekommen.,wir Geschwister,1,apc-subj-1-pl-nomod
Wir fleißigen Europäer arbeiten aktiv an diesem Projekt.,wir fleißigen Europäer,1,apc-subj-1-pl-adj
Wir müde Aktivistinnen sind seit Jahren aktiv in diesem Verein.,wir müde Aktivistinnen,1,apc-subj-1-pl-adj
"Wir Leute des Nordens sind gestern im Park spazieren gegangen, obwohl das Wetter schlecht war.",wir Leute des Nordens,1,apc-subj-1-pl-postnom
"Wir Soldaten aus Berlin sind gestern im Park spazieren gegangen, obwohl das Wetter schlecht war.",wir Soldaten aus Berlin,1,apc-subj-1-pl-postnom
"Wir glückliche Mädchen des Nordens sind gestern im Park spazieren gegangen, obwohl das Wetter schlecht war.",wir glückliche Mädchen des Nordens,1,apc-subj-1-pl-adj+postnom
Wir gebeutelte Arme vom Land sind heute früh mit dem Bus angekommen.,wir gebeutelte Arme vom Land,1,apc-subj-1-pl-adj+postnom
"Du Narr bist gestern im Park spazieren gegangen, obwohl das Wetter schlecht war.",du Narr,1,apc-subj-2-sg-nomod
"Du Junger bist gestern im Park spazieren gegangen, obwohl das Wetter schlecht war.",du Junger,1,apc-subj-2-sg-nomod
Du freundlicher Amerikaner bist heute früh mit dem Bus angekommen.,du freundlicher Amerikaner,1,apc-subj-2-sg-adj
Du armer Kommunist bist seit Jahren aktiv in diesem Verein.,du armer Kommunist,1,apc-subj-2-sg-adj
Du Rocker aus Rostock bist seit Jahren aktiv in diesem Verein.,du Rocker aus Rostock,1,apc-subj-2-sg-postnom
Du Erwachsener aus Rostock bist seit Jahren aktiv in diesem Verein.,du Erwachsener aus Rostock,1,apc-subj-2-sg-postnom
Du bedauernswerter Idiot aus der Region bist heute früh mit dem Bus angekommen.,du kluger Idiot aus der Region,1,apc-subj-2-sg-adj+postnom
Du tapferer Kerl aus der Nachbarschaft bist seit Jahren aktiv in diesem Verein.,du tapferer Kerl aus der Nachbarschaft,1,apc-subj-2-sg-adj+postnom
Solche Probleme kennt ihr Christen besonders aus historischer Perspektive.,ihr Christen,1,apc-subj-2-pl-nomod
Ihr Mädchen kennt diese Probleme schon seit langem.,ihr Mädchen,1,apc-subj-2-pl-nomod
Ihr klugen Ärzte habt eine gute Lösung des Problems gefunden.,ihr klugen Ärzte,1,apc-subj-2-pl-adj
Ihr kluge Verteidiger seid heute früh mit dem Bus angekommen.,ihr klugen Verteidiger,1,apc-subj-2-pl-adj
"Gestern seid ihr Lumpen aus Berlin im Park spazieren gegangen, obwohl das Wetter schlecht war.",ihr Lumpen aus Berlin,1,apc-subj-2-pl-postnom
"Ihr Schüler aus der Nachbarschaft seid gestern im Park spazieren gegangen, obwohl das Wetter schlecht war.",ihr Schüler aus der Nachbarschaft,1,apc-subj-2-pl-postnom
"Ihr armen Trottel aus Rostock habt noch keine Ahnung, was hier passiert.",ihr armen Trottel aus Rostock,1,apc-subj-2-pl-adj+postnom
"Ihr intriganten Kinder des Satans werdet noch sehen, wohin euch das führt!",ihr intriganten Kinder,1,apc-subj-2-pl-adj+postnom
Sie Linguistin wissen doch sicher um die Herausforderungen einer fairen Sprachpolitik.,Sie Linguistin,1,apc-subj-2Hon-sg-nomod
Sie Österreicher sind wohl den Piefkes nicht so wohlgesinnt?,Sie Österreicher,1,apc-subj-2Hon-sg-nomod
"Sie naiver Esel verstehen gar nicht, wie übel man Ihnen mitspielt.",Sie naiver Esel,1,apc-subj-2Hon-sg-adj
Die Situation Ihrer Klasse haben Sie kluger Arbeiter schon lange verstanden.,Sie kluger Arbeiter,1,apc-subj-2Hon-sg-adj
Sie Student aus Berlin sind doch sicher vertraut mit den dortigen Gepflogenheiten.,Sie Student aus Berlin,1,apc-subj-2Hon-sg-postnom
"Sie Aas aus der Großstadt haben wohl überhaupt kein Verständnis für die Herausforderungen, mit denen wir auf dem Land zu tun haben?",Sie Aas aus der Großstadt,1,apc-subj-2Hon-sg-postnom
